t_s,v_out
1073.709,2.0
1073.7090005,1.4000000000000001
1073.7090010000002,2.0
1073.7090015,1.4000000000000001
1073.709002,1.6
1073.7090025,1.2000000000000002
1073.7090030000002,1.4000000000000001
1073.7090035,1.0
1073.709004,1.0
1073.7090045,0.6000000000000001
1073.7090050000002,0.8
1073.7090055,0.4
1073.709006,0.4
1073.7090065,0.0
1073.7090070000002,0.2
1073.7090075,-0.4
1073.709008,-0.2
1073.7090085,-0.6000000000000001
1073.7090090000002,-0.4
1073.7090095,-0.8
1073.70901,-0.8
1073.7090105,-1.2000000000000002
1073.7090110000001,-1.0
1073.7090115,-1.4000000000000001
1073.709012,-1.2000000000000002
1073.7090125,-1.6
1073.7090130000001,-1.6
1073.7090135,-1.8
1073.709014,-1.6
1073.7090145,-2.0
1073.7090150000001,-1.8
1073.7090155,-2.2
1073.709016,-1.8
1073.7090165,-2.2
1073.7090170000001,-2.0
1073.7090175,-2.2
1073.709018,-2.0
1073.7090185,-2.4000000000000004
1073.7090190000001,-2.2
1073.7090195,-2.0
1073.70902,-2.0
1073.7090205,-2.2
1073.7090210000001,-2.2
1073.7090215,-1.8
1073.709022,-2.2
1073.7090225,-1.8
1073.7090230000001,-2.0
1073.7090235,-1.6
1073.709024,-1.8
1073.7090245000002,-1.4000000000000001
1073.709025,-1.6
1073.7090255,-1.2000000000000002
1073.709026,-1.4000000000000001
1073.7090265000002,-1.0
1073.709027,-1.0
1073.7090275,-0.6000000000000001
1073.709028,-0.8
1073.7090285000002,-0.4
1073.709029,-0.6000000000000001
1073.7090295,0.0
1073.70903,-0.2
1073.7090305000002,0.2
1073.709031,0.0
1073.7090315,0.6000000000000001
1073.709032,0.4
1073.7090325000001,1.0
1073.709033,0.6000000000000001
1073.7090335,1.2000000000000002
1073.709034,1.0
1073.7090345000001,1.4000000000000001
1073.709035,1.4000000000000001
1073.7090355,1.8
1073.709036,1.6
1073.7090365000001,2.0
1073.709037,1.8
1073.7090375,2.2
1073.709038,2.0
1073.7090385000001,2.4000000000000004
1073.709039,2.2
1073.7090395,2.6
1073.70904,2.4000000000000004
1073.7090405000001,2.8000000000000003
1073.709041,2.6
1073.7090415,2.8000000000000003
1073.709042,2.6
1073.7090425000001,2.8000000000000003
